Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;20.0;20.414919400937425;µg-m3;100.0;100;100.0;R;1;49.119442;6.180833
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;17.0;17.360360463781422;µg-m3;99.0;100;99.0;R;1;49.110283;6.223336
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01016;Atton;Rurale près des villes;NO2;Industrielle;Oui;mesures fixes;Moy. annuelle;19.0;18.54893740564403;µg-m3;98.0;100;98.0;R;1;48.886387;6.093611
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01018;Scy-Chazelles;Périurbaine;NO2;Fond;Oui;mesures indicatives;Moy. annuelle;14.0;13.701306103063416;µg-m3;96.0;100;96.0;R;1;49.107502;6.122775
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01019;Thionville-Piscine;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;16.0;15.873059096176208;µg-m3;99.0;100;99.0;R;1;49.36861;6.160831
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;24.0;23.982094866199652;µg-m3;99.0;100;99.0;R;1;49.358337;6.156942
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01021;Thionville-Garche;Périurbaine;NO2;Fond;Oui;mesures indicatives;Moy. annuelle;14.0;13.676486765211388;µg-m3;100.0;100;100.0;R;1;49.394444;6.201392
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01022;St-Julien-lès-Metz;Urbaine;NO2;Industrielle;Oui;mesures fixes;Moy. annuelle;14.0;13.899330408681601;µg-m3;99.0;100;99.0;R;1;49.131115;6.207225
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01059;HAYANGE-MARSPICH;Périurbaine;NO2;Industrielle;Oui;mesures indicatives;Moy. annuelle;18.0;18.05675017397358;µg-m3;98.0;100;98.0;R;1;49.3374;6.08207
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01060;Malroy;Rurale près des villes;NO2;Fond;Oui;mesures fixes;Moy. annuelle;18.0;18.290442726633927;µg-m3;97.0;100;97.0;R;1;49.16885;6.212669
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01064;Metz- Pont Grilles;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. annuelle;30.0;29.516798441617937;µg-m3;100.0;100;100.0;R;1;49.12508;6.181219
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01065;Belleville sur Meuse;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. annuelle;21.0;21.447225821651546;µg-m3;97.0;100;97.0;R;1;49.16778;5.387461
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02005;Martigues l'Ile;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;16.0;15.710121923166227;µg-m3;99.0;100;99.0;R;1;43.405297;5.051636
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02013;Fos Les Carabins;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.320684523810337;µg-m3;96.0;96;92.0;R;1;43.458927;4.934572
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02019;Vitrolles;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;15.0;15.196119644301747;µg-m3;99.0;100;99.0;R;1;43.44603;5.254136
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR02022;Arles;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;18.0;17.924299620133354;µg-m3;98.0;98;96.0;R;1;43.675114;4.62921
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;15.0;15.306742476453893;µg-m3;99.0;100;99.0;R;1;43.639002;5.101097
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;21.0;21.36508553654748;µg-m3;97.0;91;88.0;R;1;43.4165306;5.222281
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. annuelle;47.0;47.01670877353848;µg-m3;99.0;100;99.0;R;1;43.276451;5.39736
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;33.0;33.318351673541926;µg-m3;100.0;100;100.0;R;1;43.348048;5.360119
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. annuelle;41.0;40.985596468808865;µg-m3;99.0;100;98.0;R;1;43.524075;5.448164
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;21.0;21.416398378690722;µg-m3;99.0;100;99.0;R;1;43.530285;5.440912
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;23.0;22.738561555580617;µg-m3;99.0;99;97.0;R;1;43.453584;5.466672
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03032;AUBAGNE LES PASSONS;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;17.0;16.708737303786343;µg-m3;99.0;100;99.0;R;1;43.293138;5.574184
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;26.0;25.777975360295937;µg-m3;98.0;100;98.0;R;1;43.305287;5.394716
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03060;LA SEYNE GENOUD;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;17.0;17.275275355668168;µg-m3;99.0;100;99.0;R;1;43.101565;5.875404
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03068;TOULON FOCH;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. annuelle;37.0;37.3208488805941;µg-m3;99.0;99;98.0;R;1;43.126821;5.921605
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAR01;ZAR FREJUS-DRAGUIGNAN;FR03070;ESTEREL;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.07352701917577;µg-m3;99.0;100;98.0;R;1;43.437874;6.76839
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;21.0;21.45239737840563;µg-m3;99.0;100;99.0;R;1;43.131113;5.924184
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;17.0;17.157957544463954;µg-m3;99.0;100;99.0;R;1;43.949673;4.804341
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03084;LE PONTET;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;17.0;17.042517006803266;µg-m3;98.0;99;97.0;R;1;43.960144;4.856731
2018/01/01 00:00:00;2018/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03087;Avignon Semard;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. annuelle;26.0;26.427124837909112;µg-m3;97.0;100;97.0;R;1;43.93706;4.824909
