annee_de_deces;region_de_domicile;classe_d_age_de_10_ans;sexe;cause_initiale_de_deces;effectif_de_deces
2019;1;35-44;Hommes;7. Maladies de l’appareil circulatoire;3
2020;1;35-44;Hommes;7. Maladies de l’appareil circulatoire;4
2021;1;35-44;Hommes;7. Maladies de l’appareil circulatoire;6
2022;1;35-44;Hommes;7. Maladies de l’appareil circulatoire;4
2019;2;35-44;Hommes;7. Maladies de l’appareil circulatoire;1
2020;2;35-44;Hommes;7. Maladies de l’appareil circulatoire;7
2021;2;35-44;Hommes;7. Maladies de l’appareil circulatoire;10
2022;2;35-44;Hommes;7. Maladies de l’appareil circulatoire;3
2019;3;35-44;Hommes;7. Maladies de l’appareil circulatoire;6
2020;3;35-44;Hommes;7. Maladies de l’appareil circulatoire;4
2021;3;35-44;Hommes;7. Maladies de l’appareil circulatoire;9
2022;3;35-44;Hommes;7. Maladies de l’appareil circulatoire;5
2019;4;35-44;Hommes;7. Maladies de l’appareil circulatoire;20
2020;4;35-44;Hommes;7. Maladies de l’appareil circulatoire;16
2021;4;35-44;Hommes;7. Maladies de l’appareil circulatoire;12
2022;4;35-44;Hommes;7. Maladies de l’appareil circulatoire;14
2019;6;35-44;Hommes;7. Maladies de l’appareil circulatoire;3
2020;6;35-44;Hommes;7. Maladies de l’appareil circulatoire;6
2021;6;35-44;Hommes;7. Maladies de l’appareil circulatoire;4
2022;6;35-44;Hommes;7. Maladies de l’appareil circulatoire;5
2019;11;35-44;Hommes;7. Maladies de l’appareil circulatoire;124
2020;11;35-44;Hommes;7. Maladies de l’appareil circulatoire;146
2021;11;35-44;Hommes;7. Maladies de l’appareil circulatoire;132
2022;11;35-44;Hommes;7. Maladies de l’appareil circulatoire;147
2019;24;35-44;Hommes;7. Maladies de l’appareil circulatoire;17
2020;24;35-44;Hommes;7. Maladies de l’appareil circulatoire;27
2021;24;35-44;Hommes;7. Maladies de l’appareil circulatoire;23
2022;24;35-44;Hommes;7. Maladies de l’appareil circulatoire;25
2019;27;35-44;Hommes;7. Maladies de l’appareil circulatoire;35
2020;27;35-44;Hommes;7. Maladies de l’appareil circulatoire;22
2021;27;35-44;Hommes;7. Maladies de l’appareil circulatoire;30
2022;27;35-44;Hommes;7. Maladies de l’appareil circulatoire;27
2019;28;35-44;Hommes;7. Maladies de l’appareil circulatoire;33
2020;28;35-44;Hommes;7. Maladies de l’appareil circulatoire;22
2021;28;35-44;Hommes;7. Maladies de l’appareil circulatoire;29
2022;28;35-44;Hommes;7. Maladies de l’appareil circulatoire;32
2019;32;35-44;Hommes;7. Maladies de l’appareil circulatoire;68
2020;32;35-44;Hommes;7. Maladies de l’appareil circulatoire;84
2021;32;35-44;Hommes;7. Maladies de l’appareil circulatoire;95
2022;32;35-44;Hommes;7. Maladies de l’appareil circulatoire;67
2019;44;35-44;Hommes;7. Maladies de l’appareil circulatoire;49
2020;44;35-44;Hommes;7. Maladies de l’appareil circulatoire;56
2021;44;35-44;Hommes;7. Maladies de l’appareil circulatoire;61
2022;44;35-44;Hommes;7. Maladies de l’appareil circulatoire;46
2019;52;35-44;Hommes;7. Maladies de l’appareil circulatoire;31
2020;52;35-44;Hommes;7. Maladies de l’appareil circulatoire;37
2021;52;35-44;Hommes;7. Maladies de l’appareil circulatoire;37
2022;52;35-44;Hommes;7. Maladies de l’appareil circulatoire;28
2019;53;35-44;Hommes;7. Maladies de l’appareil circulatoire;35
2020;53;35-44;Hommes;7. Maladies de l’appareil circulatoire;35
2021;53;35-44;Hommes;7. Maladies de l’appareil circulatoire;28
2022;53;35-44;Hommes;7. Maladies de l’appareil circulatoire;29
2019;75;35-44;Hommes;7. Maladies de l’appareil circulatoire;54
2020;75;35-44;Hommes;7. Maladies de l’appareil circulatoire;45
2021;75;35-44;Hommes;7. Maladies de l’appareil circulatoire;44
2022;75;35-44;Hommes;7. Maladies de l’appareil circulatoire;63
2019;76;35-44;Hommes;7. Maladies de l’appareil circulatoire;50
2020;76;35-44;Hommes;7. Maladies de l’appareil circulatoire;40
2021;76;35-44;Hommes;7. Maladies de l’appareil circulatoire;44
2022;76;35-44;Hommes;7. Maladies de l’appareil circulatoire;54
2019;84;35-44;Hommes;7. Maladies de l’appareil circulatoire;48
2020;84;35-44;Hommes;7. Maladies de l’appareil circulatoire;51
2021;84;35-44;Hommes;7. Maladies de l’appareil circulatoire;62
2022;84;35-44;Hommes;7. Maladies de l’appareil circulatoire;46
2019;93;35-44;Hommes;7. Maladies de l’appareil circulatoire;45
2020;93;35-44;Hommes;7. Maladies de l’appareil circulatoire;31
2021;93;35-44;Hommes;7. Maladies de l’appareil circulatoire;30
2022;93;35-44;Hommes;7. Maladies de l’appareil circulatoire;35
2019;94;35-44;Hommes;7. Maladies de l’appareil circulatoire;2
2020;94;35-44;Hommes;7. Maladies de l’appareil circulatoire;5
2021;94;35-44;Hommes;7. Maladies de l’appareil circulatoire;0
2022;94;35-44;Hommes;7. Maladies de l’appareil circulatoire;3
2019;1;45-54;Hommes;7. Maladies de l’appareil circulatoire;18
2020;1;45-54;Hommes;7. Maladies de l’appareil circulatoire;23
2021;1;45-54;Hommes;7. Maladies de l’appareil circulatoire;20
2022;1;45-54;Hommes;7. Maladies de l’appareil circulatoire;20
2019;2;45-54;Hommes;7. Maladies de l’appareil circulatoire;18
2020;2;45-54;Hommes;7. Maladies de l’appareil circulatoire;17
2021;2;45-54;Hommes;7. Maladies de l’appareil circulatoire;19
2022;2;45-54;Hommes;7. Maladies de l’appareil circulatoire;13
2019;3;45-54;Hommes;7. Maladies de l’appareil circulatoire;19
2020;3;45-54;Hommes;7. Maladies de l’appareil circulatoire;7
2021;3;45-54;Hommes;7. Maladies de l’appareil circulatoire;16
2022;3;45-54;Hommes;7. Maladies de l’appareil circulatoire;13
2019;4;45-54;Hommes;7. Maladies de l’appareil circulatoire;43
2020;4;45-54;Hommes;7. Maladies de l’appareil circulatoire;47
2021;4;45-54;Hommes;7. Maladies de l’appareil circulatoire;33
2022;4;45-54;Hommes;7. Maladies de l’appareil circulatoire;44
2019;6;45-54;Hommes;7. Maladies de l’appareil circulatoire;5
2020;6;45-54;Hommes;7. Maladies de l’appareil circulatoire;8
2021;6;45-54;Hommes;7. Maladies de l’appareil circulatoire;19
2022;6;45-54;Hommes;7. Maladies de l’appareil circulatoire;11
2019;11;45-54;Hommes;7. Maladies de l’appareil circulatoire;401
2020;11;45-54;Hommes;7. Maladies de l’appareil circulatoire;409
2021;11;45-54;Hommes;7. Maladies de l’appareil circulatoire;422
2022;11;45-54;Hommes;7. Maladies de l’appareil circulatoire;400
2019;24;45-54;Hommes;7. Maladies de l’appareil circulatoire;83
2020;24;45-54;Hommes;7. Maladies de l’appareil circulatoire;85
2021;24;45-54;Hommes;7. Maladies de l’appareil circulatoire;110
2022;24;45-54;Hommes;7. Maladies de l’appareil circulatoire;92
2019;27;45-54;Hommes;7. Maladies de l’appareil circulatoire;80
2020;27;45-54;Hommes;7. Maladies de l’appareil circulatoire;113
2021;27;45-54;Hommes;7. Maladies de l’appareil circulatoire;96
2022;27;45-54;Hommes;7. Maladies de l’appareil circulatoire;85
2019;28;45-54;Hommes;7. Maladies de l’appareil circulatoire;119
2020;28;45-54;Hommes;7. Maladies de l’appareil circulatoire;139
2021;28;45-54;Hommes;7. Maladies de l’appareil circulatoire;128
2022;28;45-54;Hommes;7. Maladies de l’appareil circulatoire;120
2019;32;45-54;Hommes;7. Maladies de l’appareil circulatoire;226
2020;32;45-54;Hommes;7. Maladies de l’appareil circulatoire;281
2021;32;45-54;Hommes;7. Maladies de l’appareil circulatoire;232
2022;32;45-54;Hommes;7. Maladies de l’appareil circulatoire;272
2019;44;45-54;Hommes;7. Maladies de l’appareil circulatoire;188
2020;44;45-54;Hommes;7. Maladies de l’appareil circulatoire;178
2021;44;45-54;Hommes;7. Maladies de l’appareil circulatoire;185
2022;44;45-54;Hommes;7. Maladies de l’appareil circulatoire;200
2019;52;45-54;Hommes;7. Maladies de l’appareil circulatoire;117
2020;52;45-54;Hommes;7. Maladies de l’appareil circulatoire;110
2021;52;45-54;Hommes;7. Maladies de l’appareil circulatoire;111
2022;52;45-54;Hommes;7. Maladies de l’appareil circulatoire;92
2019;53;45-54;Hommes;7. Maladies de l’appareil circulatoire;115
2020;53;45-54;Hommes;7. Maladies de l’appareil circulatoire;100
2021;53;45-54;Hommes;7. Maladies de l’appareil circulatoire;115
2022;53;45-54;Hommes;7. Maladies de l’appareil circulatoire;107
2019;75;45-54;Hommes;7. Maladies de l’appareil circulatoire;191
2020;75;45-54;Hommes;7. Maladies de l’appareil circulatoire;176
2021;75;45-54;Hommes;7. Maladies de l’appareil circulatoire;178
2022;75;45-54;Hommes;7. Maladies de l’appareil circulatoire;222
2019;76;45-54;Hommes;7. Maladies de l’appareil circulatoire;169
2020;76;45-54;Hommes;7. Maladies de l’appareil circulatoire;161
2021;76;45-54;Hommes;7. Maladies de l’appareil circulatoire;221
2022;76;45-54;Hommes;7. Maladies de l’appareil circulatoire;199
2019;84;45-54;Hommes;7. Maladies de l’appareil circulatoire;222
2020;84;45-54;Hommes;7. Maladies de l’appareil circulatoire;206
2021;84;45-54;Hommes;7. Maladies de l’appareil circulatoire;230
2022;84;45-54;Hommes;7. Maladies de l’appareil circulatoire;218
2019;93;45-54;Hommes;7. Maladies de l’appareil circulatoire;143
2020;93;45-54;Hommes;7. Maladies de l’appareil circulatoire;155
2021;93;45-54;Hommes;7. Maladies de l’appareil circulatoire;153
2022;93;45-54;Hommes;7. Maladies de l’appareil circulatoire;157
2019;94;45-54;Hommes;7. Maladies de l’appareil circulatoire;9
2020;94;45-54;Hommes;7. Maladies de l’appareil circulatoire;10
2021;94;45-54;Hommes;7. Maladies de l’appareil circulatoire;13
2022;94;45-54;Hommes;7. Maladies de l’appareil circulatoire;12
2019;1;55-64;Hommes;7. Maladies de l’appareil circulatoire;42
2020;1;55-64;Hommes;7. Maladies de l’appareil circulatoire;49
2021;1;55-64;Hommes;7. Maladies de l’appareil circulatoire;53
2022;1;55-64;Hommes;7. Maladies de l’appareil circulatoire;38
2019;2;55-64;Hommes;7. Maladies de l’appareil circulatoire;28
2020;2;55-64;Hommes;7. Maladies de l’appareil circulatoire;40
2021;2;55-64;Hommes;7. Maladies de l’appareil circulatoire;39
2022;2;55-64;Hommes;7. Maladies de l’appareil circulatoire;35
2019;3;55-64;Hommes;7. Maladies de l’appareil circulatoire;26
2020;3;55-64;Hommes;7. Maladies de l’appareil circulatoire;25
2021;3;55-64;Hommes;7. Maladies de l’appareil circulatoire;20
2022;3;55-64;Hommes;7. Maladies de l’appareil circulatoire;26
2019;4;55-64;Hommes;7. Maladies de l’appareil circulatoire;110
2020;4;55-64;Hommes;7. Maladies de l’appareil circulatoire;105
